lat,lon
-15.6008	,-74.7292
-15.5549	,-74.7662
-15.4675	,-74.8366
-15.3838	,-74.9039
-15.3233	,-74.9526
-15.2768	,-74.9899
-15.2294	,-75.0279
-15.1174	,-75.1175
-15.0693	,-75.1544
-14.991	,-75.2075
-14.894	,-75.2745
-14.8443	,-75.3091
-14.7953	,-75.3431
-14.7464	,-75.377
-14.6972	,-75.4111
-14.649	,-75.4445
-14.5992	,-75.4792
-14.5501	,-75.5131
-14.4527	,-75.5806
-14.3455	,-75.6548
-14.2617	,-75.7125
-14.1755	,-75.7719
-14.1003	,-75.8239
-14.0038	,-75.8903
-13.9514	,-75.9264
-13.9016	,-75.9606
-13.8524	,-75.9945
-13.8003	,-76.0303
-13.7506	,-76.0644
-13.6711	,-76.119
-13.6212	,-76.1531
-13.5704	,-76.1881
-13.52	,-76.2227
-13.4704	,-76.2566
-13.4186	,-76.2921
-13.3498	,-76.3392
-13.2981	,-76.3744
-13.2468	,-76.4092
-13.1969	,-76.4433
-13.1462	,-76.478
-13.0974	,-76.5116
-13.0496	,-76.5441
-12.9992	,-76.578
-12.9476	,-76.6129
-12.8958	,-76.6484
-12.8432	,-76.6843
-12.7893	,-76.7211
-12.7359	,-76.7575
-12.6836	,-76.7933
-12.6303	,-76.8293
-12.5778	,-76.8652
-12.5274	,-76.8994
-12.4747	,-76.9352
-12.4285	,-76.9668
-12.3765	,-77.0021
-12.3277	,-77.0351
-12.286	,-77.0633
-12.2541	,-77.085
-12.2159	,-77.1106
-12.1777	,-77.1362
-12.1419	,-77.1604
-12.1227	,-77.1735
-12.0926	,-77.1929
-12.0556	,-77.2111
-12.0214	,-77.2283
-11.9923	,-77.243
-11.9605	,-77.2596
-11.9396	,-77.2675
-11.9178	,-77.2608
-11.9029	,-77.2435
-11.8922	,-77.2294
-11.8825	,-77.2131
-11.8854	,-77.1944
-11.8955	,-77.1793
-11.9098	,-77.1704
-11.9205	,-77.1646
-11.9392	,-77.1551
-11.9579	,-77.1458
-11.9683	,-77.1408
-11.9773	,-77.1363
